Name/Date of birth,Appointed,End of time in post,Time in post,Matches,PPG
Liam Rosenior,08/01/2026,,1 day,0,-
Calum McFarlane,01/01/2026,07/01/2026,6 days,2,0.5
Enzo Maresca,01/07/2024,01/01/2026,549 days,92,1.97
Mauricio Pochettino,01/07/2023,30/06/2024,365 days,51,1.78
Frank Lampard,06/04/2023,30/06/2023,85 days,11,0.45
Bruno Saltor,03/04/2023,05/04/2023,2 days,1,1
Graham Potter,08/09/2022,02/04/2023,206 days,31,1.42
Thomas Tuchel,26/01/2021,07/09/2022,589 days,100,2.08
Frank Lampard,04/07/2019,25/01/2021,571 days,84,1.75
Maurizio Sarri,14/07/2018,30/06/2019,351 days,63,2.08
Antonio Conte,01/07/2016,13/07/2018,742 days,106,2.12
Guus Hiddink,21/12/2015,30/06/2016,192 days,27,1.52
José Mourinho,01/07/2013,17/12/2015,899 days,136,1.9