Name/Date of birth,Appointed,End of time in post,Time in post,Matches,W,D,L,PPG
Darren Fletcher,05/01/2026,,04 days,1,-,1,-,1
Rúben Amorim,11/11/2024,05/01/2026,01 year 01 month 25 days,63,25,15,23,1.43
Ruud van Nistelrooy,28/10/2024,11/11/2024,14 days,4,3,1,-,2.5
Erik ten Hag,01/07/2022,28/10/2024,02 years 03 months 27 days,128,72,20,36,1.84
Ralf Rangnick,03/12/2021,31/05/2022,05 months 28 days,29,11,9,9,1.45
Michael Carrick,21/11/2021,03/12/2021,12 days,3,2,1,-,2.33
Ole Gunnar Solskjaer,28/03/2019,21/11/2021,02 years 07 months 24 days,149,78,33,38,1.79
Ole Gunnar Solskjaer,19/12/2018,28/03/2019,03 months 09 days,19,14,2,3,2.32
José Mourinho,01/07/2016,18/12/2018,02 years 05 months 17 days,144,84,31,29,1.97
Louis van Gaal,14/07/2014,23/05/2016,01 year 10 months 09 days,103,54,24,25,1.81